Name,RA,DEC,Redshift,Distance,C,A,Gini,M20
A1644_00001,0.0,0.0,0.047476,0.0,0.0,0.0,0.0,0.0
A1644_00002,0.0,0.0,0.044074,0.0,0.0,0.0,0.0,0.0
A1644_00003,0.0,0.0,0.044371,0.0,0.0,0.0,0.0,0.0
A1644_00004,0.0,0.0,0.041649,0.0,0.0,0.0,0.0,0.0
A1644_00005,0.0,0.0,0.047189,0.0,0.0,0.0,0.0,0.0
A1644_00006,0.0,0.0,0.049931,0.0,0.0,0.0,0.0,0.0
A1644_00007,0.0,0.0,0.047283,0.0,0.0,0.0,0.0,0.0
A1644_00008,0.0,0.0,0.048697,0.0,0.0,0.0,0.0,0.0
A1644_00009,0.0,0.0,0.04851,0.0,0.0,0.0,0.0,0.0
A1644_00010,0.0,0.0,0.039187,0.0,0.0,0.0,0.0,0.0
A1644_00011,0.0,0.0,0.04781,0.0,0.0,0.0,0.0,0.0
A1644_00012,0.0,0.0,0.046626,0.0,0.0,0.0,0.0,0.0
A1644_00013,0.0,0.0,0.043493,0.0,0.0,0.0,0.0,0.0
A1644_00014,0.0,0.0,0.045662,0.0,0.0,0.0,0.0,0.0
A1644_00015,0.0,0.0,0.048343,0.0,0.0,0.0,0.0,0.0
A1644_00016,0.0,0.0,0.045415,0.0,0.0,0.0,0.0,0.0
A1644_00017,0.0,0.0,0.052306,0.0,0.0,0.0,0.0,0.0
A1644_00018,0.0,0.0,0.052356,0.0,0.0,0.0,0.0,0.0
A1644_00019,0.0,0.0,0.0481,0.0,0.0,0.0,0.0,0.0
A1644_00020,0.0,0.0,0.048253,0.0,0.0,0.0,0.0,0.0
A1644_00021,0.0,0.0,0.044214,0.0,0.0,0.0,0.0,0.0
A1644_00022,0.0,0.0,0.046229,0.0,0.0,0.0,0.0,0.0
A1644_00023,0.0,0.0,0.04848,0.0,0.0,0.0,0.0,0.0
A1644_00024,0.0,0.0,0.051272,0.0,0.0,0.0,0.0,0.0
A1644_00025,0.0,0.0,0.039394,0.0,0.0,0.0,0.0,0.0
A1644_00026,0.0,0.0,0.04827,0.0,0.0,0.0,0.0,0.0
A1644_00027,0.0,0.0,0.04796,0.0,0.0,0.0,0.0,0.0
A1644_00028,0.0,0.0,0.042489,0.0,0.0,0.0,0.0,0.0
A1644_00029,0.0,0.0,0.045958,0.0,0.0,0.0,0.0,0.0
A1644_00030,0.0,0.0,0.044587,0.0,0.0,0.0,0.0,0.0
A1644_00031,0.0,0.0,0.049361,0.0,0.0,0.0,0.0,0.0
A1644_00032,0.0,0.0,0.049257,0.0,0.0,0.0,0.0,0.0
A1644_00033,0.0,0.0,0.045505,0.0,0.0,0.0,0.0,0.0
A1644_00034,0.0,0.0,0.051312,0.0,0.0,0.0,0.0,0.0
A1644_00035,0.0,0.0,0.051979,0.0,0.0,0.0,0.0,0.0
A1644_00036,0.0,0.0,0.045495,0.0,0.0,0.0,0.0,0.0
A1644_00037,0.0,0.0,0.052403,0.0,0.0,0.0,0.0,0.0
A1644_00038,0.0,0.0,0.049821,0.0,0.0,0.0,0.0,0.0
A1644_00039,0.0,0.0,0.053827,0.0,0.0,0.0,0.0,0.0
A1644_00040,0.0,0.0,0.050021,0.0,0.0,0.0,0.0,0.0
A1644_00041,0.0,0.0,0.04782,0.0,0.0,0.0,0.0,0.0
A1644_00042,0.0,0.0,0.04834,0.0,0.0,0.0,0.0,0.0
A1644_00043,0.0,0.0,0.04858,0.0,0.0,0.0,0.0,0.0
A1644_00044,0.0,0.0,0.042876,0.0,0.0,0.0,0.0,0.0
A1644_00045,0.0,0.0,0.048347,0.0,0.0,0.0,0.0,0.0
A1644_00046,0.0,0.0,0.047389,0.0,0.0,0.0,0.0,0.0
A1644_00047,0.0,0.0,0.048077,0.0,0.0,0.0,0.0,0.0
A1644_00048,0.0,0.0,0.047023,0.0,0.0,0.0,0.0,0.0
A1644_00049,0.0,0.0,0.049801,0.0,0.0,0.0,0.0,0.0
A1644_00050,0.0,0.0,0.0488,0.0,0.0,0.0,0.0,0.0
A1644_00051,0.0,0.0,0.047906,0.0,0.0,0.0,0.0,0.0
A1644_00052,0.0,0.0,0.046005,0.0,0.0,0.0,0.0,0.0
A1644_00053,0.0,0.0,0.04369,0.0,0.0,0.0,0.0,0.0
A1644_00054,0.0,0.0,0.044337,0.0,0.0,0.0,0.0,0.0
A1644_00055,0.0,0.0,0.04947,0.0,0.0,0.0,0.0,0.0
A1644_00056,0.0,0.0,0.04852,0.0,0.0,0.0,0.0,0.0
A1644_00057,0.0,0.0,0.040114,0.0,0.0,0.0,0.0,0.0
A1644_00058,0.0,0.0,0.048664,0.0,0.0,0.0,0.0,0.0
A1644_00059,0.0,0.0,0.046005,0.0,0.0,0.0,0.0,0.0
A1644_00060,0.0,0.0,0.039454,0.0,0.0,0.0,0.0,0.0
A1644_00061,0.0,0.0,0.045521,0.0,0.0,0.0,0.0,0.0
A1644_00062,0.0,0.0,0.047243,0.0,0.0,0.0,0.0,0.0
A1644_00063,0.0,0.0,0.049387,0.0,0.0,0.0,0.0,0.0
A1644_00064,0.0,0.0,0.0479,0.0,0.0,0.0,0.0,0.0
A1644_00065,0.0,0.0,0.049124,0.0,0.0,0.0,0.0,0.0
A1644_00066,0.0,0.0,0.046055,0.0,0.0,0.0,0.0,0.0
A1644_00067,0.0,0.0,0.045792,0.0,0.0,0.0,0.0,0.0
