Name,RA,DEC,Redshift,Distance,C,A,Gini,M20
MKW4_00001,0.0,0.0,0.024436,0.0,0.0,0.0,0.0,0.0
MKW4_00002,0.0,0.0,0.02483,0.0,0.0,0.0,0.0,0.0
MKW4_00003,0.0,0.0,0.016375,0.0,0.0,0.0,0.0,0.0
MKW4_00004,0.0,0.0,0.018969,0.0,0.0,0.0,0.0,0.0
MKW4_00005,0.0,0.0,0.019177,0.0,0.0,0.0,0.0,0.0
MKW4_00006,0.0,0.0,0.018502,0.0,0.0,0.0,0.0,0.0
MKW4_00007,0.0,0.0,0.02268243,0.0,0.0,0.0,0.0,0.0
MKW4_00008,0.0,0.0,0.019331,0.0,0.0,0.0,0.0,0.0
MKW4_00009,0.0,0.0,0.020844,0.0,0.0,0.0,0.0,0.0
MKW4_00010,0.0,0.0,0.017177,0.0,0.0,0.0,0.0,0.0
MKW4_00011,0.0,0.0,0.0227,0.0,0.0,0.0,0.0,0.0
MKW4_00012,0.0,0.0,0.02107,0.0,0.0,0.0,0.0,0.0
MKW4_00013,0.0,0.0,0.023836,0.0,0.0,0.0,0.0,0.0
MKW4_00014,0.0,0.0,0.016023917,0.0,0.0,0.0,0.0,0.0
MKW4_00015,0.0,0.0,0.019719,0.0,0.0,0.0,0.0,0.0
MKW4_00016,0.0,0.0,0.023627447,0.0,0.0,0.0,0.0,0.0
MKW4_00017,0.0,0.0,0.019837,0.0,0.0,0.0,0.0,0.0
MKW4_00018,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0
MKW4_00019,0.0,0.0,0.017976,0.0,0.0,0.0,0.0,0.0
MKW4_00020,0.0,0.0,0.017266,0.0,0.0,0.0,0.0,0.0
MKW4_00021,0.0,0.0,0.020542,0.0,0.0,0.0,0.0,0.0
MKW4_00022,0.0,0.0,0.017703066,0.0,0.0,0.0,0.0,0.0
MKW4_00023,0.0,0.0,0.020019,0.0,0.0,0.0,0.0,0.0
MKW4_00024,0.0,0.0,0.020362,0.0,0.0,0.0,0.0,0.0
MKW4_00025,0.0,0.0,0.019723125,0.0,0.0,0.0,0.0,0.0
MKW4_00026,0.0,0.0,0.018682,0.0,0.0,0.0,0.0,0.0
MKW4_00027,0.0,0.0,0.018959,0.0,0.0,0.0,0.0,0.0
MKW4_00028,0.0,0.0,0.018733,0.0,0.0,0.0,0.0,0.0
MKW4_00029,0.0,0.0,0.019365195,0.0,0.0,0.0,0.0,0.0
MKW4_00030,0.0,0.0,0.022149,0.0,0.0,0.0,0.0,0.0
MKW4_00031,0.0,0.0,0.018687,0.0,0.0,0.0,0.0,0.0
MKW4_00032,0.0,0.0,0.023511,0.0,0.0,0.0,0.0,0.0
MKW4_00033,0.0,0.0,0.020134,0.0,0.0,0.0,0.0,0.0
MKW4_00034,0.0,0.0,0.022990976,0.0,0.0,0.0,0.0,0.0
MKW4_00035,0.0,0.0,0.022664,0.0,0.0,0.0,0.0,0.0
MKW4_00036,0.0,0.0,0.02305,0.0,0.0,0.0,0.0,0.0
MKW4_00037,0.0,0.0,0.022204,0.0,0.0,0.0,0.0,0.0
MKW4_00038,0.0,0.0,0.019561,0.0,0.0,0.0,0.0,0.0
MKW4_00039,0.0,0.0,0.021375,0.0,0.0,0.0,0.0,0.0
MKW4_00040,0.0,0.0,0.015514,0.0,0.0,0.0,0.0,0.0
MKW4_00041,0.0,0.0,0.02275,0.0,0.0,0.0,0.0,0.0
MKW4_00042,0.0,0.0,0.019099,0.0,0.0,0.0,0.0,0.0
MKW4_00043,0.0,0.0,0.019495,0.0,0.0,0.0,0.0,0.0
MKW4_00044,0.0,0.0,0.018888,0.0,0.0,0.0,0.0,0.0
MKW4_00045,0.0,0.0,0.019266,0.0,0.0,0.0,0.0,0.0
MKW4_00046,0.0,0.0,0.021904137,0.0,0.0,0.0,0.0,0.0
MKW4_00047,0.0,0.0,0.019058285,0.0,0.0,0.0,0.0,0.0
MKW4_00048,0.0,0.0,0.023175,0.0,0.0,0.0,0.0,0.0
MKW4_00049,0.0,0.0,0.018059852,0.0,0.0,0.0,0.0,0.0
MKW4_00050,0.0,0.0,0.023590691,0.0,0.0,0.0,0.0,0.0
MKW4_00051,0.0,0.0,0.019028706,0.0,0.0,0.0,0.0,0.0
MKW4_00052,0.0,0.0,0.020231,0.0,0.0,0.0,0.0,0.0
MKW4_00053,0.0,0.0,0.019969,0.0,0.0,0.0,0.0,0.0
MKW4_00054,0.0,0.0,0.019391,0.0,0.0,0.0,0.0,0.0
MKW4_00055,0.0,0.0,0.0235,0.0,0.0,0.0,0.0,0.0
MKW4_00056,0.0,0.0,0.023963,0.0,0.0,0.0,0.0,0.0
MKW4_00057,0.0,0.0,0.017262,0.0,0.0,0.0,0.0,0.0
MKW4_00058,0.0,0.0,0.020095639,0.0,0.0,0.0,0.0,0.0
MKW4_00059,0.0,0.0,0.01842,0.0,0.0,0.0,0.0,0.0
MKW4_00060,0.0,0.0,0.020822,0.0,0.0,0.0,0.0,0.0
MKW4_00061,0.0,0.0,0.020295,0.0,0.0,0.0,0.0,0.0
MKW4_00062,0.0,0.0,0.020328,0.0,0.0,0.0,0.0,0.0
MKW4_00063,0.0,0.0,0.020143,0.0,0.0,0.0,0.0,0.0
MKW4_00064,0.0,0.0,0.02044,0.0,0.0,0.0,0.0,0.0
MKW4_00065,0.0,0.0,0.020457,0.0,0.0,0.0,0.0,0.0
MKW4_00066,0.0,0.0,0.019372,0.0,0.0,0.0,0.0,0.0
MKW4_00067,0.0,0.0,0.019162,0.0,0.0,0.0,0.0,0.0
MKW4_00068,0.0,0.0,0.01613,0.0,0.0,0.0,0.0,0.0
MKW4_00069,0.0,0.0,0.018623,0.0,0.0,0.0,0.0,0.0
MKW4_00070,0.0,0.0,0.021765,0.0,0.0,0.0,0.0,0.0
MKW4_00071,0.0,0.0,0.0207,0.0,0.0,0.0,0.0,0.0
MKW4_00072,0.0,0.0,0.01934,0.0,0.0,0.0,0.0,0.0
MKW4_00073,0.0,0.0,0.018556988,0.0,0.0,0.0,0.0,0.0
MKW4_00074,0.0,0.0,0.020134512,0.0,0.0,0.0,0.0,0.0
MKW4_00075,0.0,0.0,0.01807809,0.0,0.0,0.0,0.0,0.0
MKW4_00076,0.0,0.0,0.018636,0.0,0.0,0.0,0.0,0.0
MKW4_00077,0.0,0.0,0.020903,0.0,0.0,0.0,0.0,0.0
MKW4_00078,0.0,0.0,0.020831,0.0,0.0,0.0,0.0,0.0
MKW4_00079,0.0,0.0,0.02027,0.0,0.0,0.0,0.0,0.0
MKW4_00080,0.0,0.0,0.019511685,0.0,0.0,0.0,0.0,0.0
MKW4_00081,0.0,0.0,0.0213,0.0,0.0,0.0,0.0,0.0
MKW4_00082,0.0,0.0,0.020184,0.0,0.0,0.0,0.0,0.0
MKW4_00083,0.0,0.0,0.01911032,0.0,0.0,0.0,0.0,0.0
MKW4_00084,0.0,0.0,0.0211,0.0,0.0,0.0,0.0,0.0
MKW4_00085,0.0,0.0,0.022572016,0.0,0.0,0.0,0.0,0.0
MKW4_00086,0.0,0.0,0.019965,0.0,0.0,0.0,0.0,0.0
MKW4_00087,0.0,0.0,0.017892,0.0,0.0,0.0,0.0,0.0
MKW4_00088,0.0,0.0,0.022358,0.0,0.0,0.0,0.0,0.0
MKW4_00089,0.0,0.0,0.022819,0.0,0.0,0.0,0.0,0.0
MKW4_00090,0.0,0.0,0.020675616,0.0,0.0,0.0,0.0,0.0
MKW4_00091,0.0,0.0,0.021871395,0.0,0.0,0.0,0.0,0.0
MKW4_00092,0.0,0.0,0.019524,0.0,0.0,0.0,0.0,0.0
MKW4_00093,0.0,0.0,0.020505,0.0,0.0,0.0,0.0,0.0
MKW4_00094,0.0,0.0,0.019973,0.0,0.0,0.0,0.0,0.0
MKW4_00095,0.0,0.0,0.019383,0.0,0.0,0.0,0.0,0.0
MKW4_00096,0.0,0.0,0.020151,0.0,0.0,0.0,0.0,0.0
MKW4_00097,0.0,0.0,0.018962,0.0,0.0,0.0,0.0,0.0
MKW4_00098,0.0,0.0,0.019852,0.0,0.0,0.0,0.0,0.0
MKW4_00099,0.0,0.0,0.019205794,0.0,0.0,0.0,0.0,0.0
MKW4_00100,0.0,0.0,0.023212,0.0,0.0,0.0,0.0,0.0
MKW4_00101,0.0,0.0,0.017988306,0.0,0.0,0.0,0.0,0.0
MKW4_00102,0.0,0.0,0.019997,0.0,0.0,0.0,0.0,0.0
MKW4_00103,0.0,0.0,0.022426,0.0,0.0,0.0,0.0,0.0
MKW4_00104,0.0,0.0,0.019967,0.0,0.0,0.0,0.0,0.0
MKW4_00105,0.0,0.0,0.019678,0.0,0.0,0.0,0.0,0.0
MKW4_00106,0.0,0.0,0.020381,0.0,0.0,0.0,0.0,0.0
MKW4_00107,0.0,0.0,0.019173693,0.0,0.0,0.0,0.0,0.0
MKW4_00108,0.0,0.0,0.02158451,0.0,0.0,0.0,0.0,0.0
MKW4_00109,0.0,0.0,0.020379,0.0,0.0,0.0,0.0,0.0
MKW4_00110,0.0,0.0,0.020813182,0.0,0.0,0.0,0.0,0.0
MKW4_00111,0.0,0.0,0.020887,0.0,0.0,0.0,0.0,0.0
MKW4_00112,0.0,0.0,0.0197,0.0,0.0,0.0,0.0,0.0
MKW4_00113,0.0,0.0,0.02172348,0.0,0.0,0.0,0.0,0.0
MKW4_00114,0.0,0.0,0.01842,0.0,0.0,0.0,0.0,0.0
MKW4_00115,0.0,0.0,0.020806842,0.0,0.0,0.0,0.0,0.0
MKW4_00116,0.0,0.0,0.017114324,0.0,0.0,0.0,0.0,0.0
MKW4_00117,0.0,0.0,0.01943727,0.0,0.0,0.0,0.0,0.0
MKW4_00118,0.0,0.0,0.020042,0.0,0.0,0.0,0.0,0.0
MKW4_00119,0.0,0.0,0.020862,0.0,0.0,0.0,0.0,0.0
MKW4_00120,0.0,0.0,0.019503,0.0,0.0,0.0,0.0,0.0
MKW4_00121,0.0,0.0,0.02098,0.0,0.0,0.0,0.0,0.0
MKW4_00122,0.0,0.0,0.01969,0.0,0.0,0.0,0.0,0.0
MKW4_00123,0.0,0.0,0.021267,0.0,0.0,0.0,0.0,0.0
MKW4_00124,0.0,0.0,0.018292572,0.0,0.0,0.0,0.0,0.0
MKW4_00125,0.0,0.0,0.022077395,0.0,0.0,0.0,0.0,0.0
MKW4_00126,0.0,0.0,0.019722,0.0,0.0,0.0,0.0,0.0
MKW4_00127,0.0,0.0,0.021682,0.0,0.0,0.0,0.0,0.0
MKW4_00128,0.0,0.0,0.022197789,0.0,0.0,0.0,0.0,0.0
MKW4_00129,0.0,0.0,0.019283,0.0,0.0,0.0,0.0,0.0
MKW4_00130,0.0,0.0,0.018392,0.0,0.0,0.0,0.0,0.0
MKW4_00131,0.0,0.0,0.01890932,0.0,0.0,0.0,0.0,0.0
MKW4_00132,0.0,0.0,0.020545,0.0,0.0,0.0,0.0,0.0
MKW4_00133,0.0,0.0,0.020029655,0.0,0.0,0.0,0.0,0.0
MKW4_00134,0.0,0.0,0.020341,0.0,0.0,0.0,0.0,0.0
MKW4_00135,0.0,0.0,0.022466,0.0,0.0,0.0,0.0,0.0
MKW4_00136,0.0,0.0,0.020417,0.0,0.0,0.0,0.0,0.0
MKW4_00137,0.0,0.0,0.022115,0.0,0.0,0.0,0.0,0.0
MKW4_00138,0.0,0.0,0.021286,0.0,0.0,0.0,0.0,0.0
MKW4_00139,0.0,0.0,0.018022,0.0,0.0,0.0,0.0,0.0
MKW4_00140,0.0,0.0,0.020975,0.0,0.0,0.0,0.0,0.0
MKW4_00141,0.0,0.0,0.01971,0.0,0.0,0.0,0.0,0.0
MKW4_00142,0.0,0.0,0.02031241,0.0,0.0,0.0,0.0,0.0
MKW4_00143,0.0,0.0,0.021121936,0.0,0.0,0.0,0.0,0.0
MKW4_00144,0.0,0.0,0.0187398,0.0,0.0,0.0,0.0,0.0
MKW4_00145,0.0,0.0,0.018956,0.0,0.0,0.0,0.0,0.0
MKW4_00146,0.0,0.0,0.019963684,0.0,0.0,0.0,0.0,0.0
MKW4_00147,0.0,0.0,0.020085,0.0,0.0,0.0,0.0,0.0
MKW4_00148,0.0,0.0,0.019214,0.0,0.0,0.0,0.0,0.0
MKW4_00149,0.0,0.0,0.020212,0.0,0.0,0.0,0.0,0.0
MKW4_00150,0.0,0.0,0.018395584,0.0,0.0,0.0,0.0,0.0
MKW4_00151,0.0,0.0,0.019443523,0.0,0.0,0.0,0.0,0.0
MKW4_00152,0.0,0.0,0.018307682,0.0,0.0,0.0,0.0,0.0
MKW4_00153,0.0,0.0,0.01878494,0.0,0.0,0.0,0.0,0.0
MKW4_00154,0.0,0.0,0.019713342,0.0,0.0,0.0,0.0,0.0
MKW4_00155,0.0,0.0,0.020252202,0.0,0.0,0.0,0.0,0.0
MKW4_00156,0.0,0.0,0.02015504,0.0,0.0,0.0,0.0,0.0
MKW4_00157,0.0,0.0,0.019457873,0.0,0.0,0.0,0.0,0.0
MKW4_00158,0.0,0.0,0.0212802,0.0,0.0,0.0,0.0,0.0
MKW4_00159,0.0,0.0,0.018132772,0.0,0.0,0.0,0.0,0.0
MKW4_00160,0.0,0.0,0.019910501,0.0,0.0,0.0,0.0,0.0
MKW4_00161,0.0,0.0,0.020624,0.0,0.0,0.0,0.0,0.0
MKW4_00162,0.0,0.0,0.022299763,0.0,0.0,0.0,0.0,0.0
MKW4_00163,0.0,0.0,0.018479,0.0,0.0,0.0,0.0,0.0
MKW4_00164,0.0,0.0,0.018129317,0.0,0.0,0.0,0.0,0.0
MKW4_00165,0.0,0.0,0.019401,0.0,0.0,0.0,0.0,0.0
MKW4_00166,0.0,0.0,0.017831512,0.0,0.0,0.0,0.0,0.0
MKW4_00167,0.0,0.0,0.020638026,0.0,0.0,0.0,0.0,0.0
MKW4_00168,0.0,0.0,0.0206386,0.0,0.0,0.0,0.0,0.0
MKW4_00169,0.0,0.0,0.019746093,0.0,0.0,0.0,0.0,0.0
MKW4_00170,0.0,0.0,0.019729568,0.0,0.0,0.0,0.0,0.0
MKW4_00171,0.0,0.0,0.020274,0.0,0.0,0.0,0.0,0.0
MKW4_00172,0.0,0.0,0.018303,0.0,0.0,0.0,0.0,0.0
MKW4_00173,0.0,0.0,0.019382,0.0,0.0,0.0,0.0,0.0
MKW4_00174,0.0,0.0,0.020055173,0.0,0.0,0.0,0.0,0.0
MKW4_00175,0.0,0.0,0.019627593,0.0,0.0,0.0,0.0,0.0
MKW4_00176,0.0,0.0,0.0211,0.0,0.0,0.0,0.0,0.0
MKW4_00177,0.0,0.0,0.018252736,0.0,0.0,0.0,0.0,0.0
MKW4_00178,0.0,0.0,0.022179581,0.0,0.0,0.0,0.0,0.0
MKW4_00179,0.0,0.0,0.019666,0.0,0.0,0.0,0.0,0.0
MKW4_00180,0.0,0.0,0.0205488,0.0,0.0,0.0,0.0,0.0
MKW4_00181,0.0,0.0,0.020618148,0.0,0.0,0.0,0.0,0.0
MKW4_00182,0.0,0.0,0.019260129,0.0,0.0,0.0,0.0,0.0
MKW4_00183,0.0,0.0,0.020665241,0.0,0.0,0.0,0.0,0.0
MKW4_00184,0.0,0.0,0.019379174,0.0,0.0,0.0,0.0,0.0
MKW4_00185,0.0,0.0,0.01941,0.0,0.0,0.0,0.0,0.0
MKW4_00186,0.0,0.0,0.019435607,0.0,0.0,0.0,0.0,0.0
MKW4_00187,0.0,0.0,0.018858,0.0,0.0,0.0,0.0,0.0
MKW4_00188,0.0,0.0,0.019678,0.0,0.0,0.0,0.0,0.0
MKW4_00189,0.0,0.0,0.0214743,0.0,0.0,0.0,0.0,0.0
MKW4_00190,0.0,0.0,0.0211713,0.0,0.0,0.0,0.0,0.0
MKW4_00191,0.0,0.0,0.020109415,0.0,0.0,0.0,0.0,0.0
MKW4_00192,0.0,0.0,0.019308,0.0,0.0,0.0,0.0,0.0
MKW4_00193,0.0,0.0,0.0204564,0.0,0.0,0.0,0.0,0.0
MKW4_00194,0.0,0.0,0.020664,0.0,0.0,0.0,0.0,0.0
MKW4_00195,0.0,0.0,0.01998161,0.0,0.0,0.0,0.0,0.0
MKW4_00196,0.0,0.0,0.019768,0.0,0.0,0.0,0.0,0.0
MKW4_00197,0.0,0.0,0.021771504,0.0,0.0,0.0,0.0,0.0
MKW4_00198,0.0,0.0,0.019152,0.0,0.0,0.0,0.0,0.0
MKW4_00199,0.0,0.0,0.02003494,0.0,0.0,0.0,0.0,0.0
MKW4_00200,0.0,0.0,0.019150713,0.0,0.0,0.0,0.0,0.0
MKW4_00201,0.0,0.0,0.020174,0.0,0.0,0.0,0.0,0.0
MKW4_00202,0.0,0.0,0.018796,0.0,0.0,0.0,0.0,0.0
MKW4_00203,0.0,0.0,0.020466592,0.0,0.0,0.0,0.0,0.0
MKW4_00204,0.0,0.0,0.020792624,0.0,0.0,0.0,0.0,0.0
MKW4_00205,0.0,0.0,0.0211555,0.0,0.0,0.0,0.0,0.0
MKW4_00206,0.0,0.0,0.021415,0.0,0.0,0.0,0.0,0.0
MKW4_00207,0.0,0.0,0.021651,0.0,0.0,0.0,0.0,0.0
MKW4_00208,0.0,0.0,0.0201847,0.0,0.0,0.0,0.0,0.0
MKW4_00209,0.0,0.0,0.020668,0.0,0.0,0.0,0.0,0.0
MKW4_00210,0.0,0.0,0.020023,0.0,0.0,0.0,0.0,0.0
MKW4_00211,0.0,0.0,0.019655213,0.0,0.0,0.0,0.0,0.0
MKW4_00212,0.0,0.0,0.019982,0.0,0.0,0.0,0.0,0.0
MKW4_00213,0.0,0.0,0.021783376,0.0,0.0,0.0,0.0,0.0
MKW4_00214,0.0,0.0,0.019378,0.0,0.0,0.0,0.0,0.0
MKW4_00215,0.0,0.0,0.0203616,0.0,0.0,0.0,0.0,0.0
MKW4_00216,0.0,0.0,0.01889724,0.0,0.0,0.0,0.0,0.0
MKW4_00217,0.0,0.0,0.019040031,0.0,0.0,0.0,0.0,0.0
MKW4_00218,0.0,0.0,0.020634,0.0,0.0,0.0,0.0,0.0
MKW4_00219,0.0,0.0,0.0206484,0.0,0.0,0.0,0.0,0.0
MKW4_00220,0.0,0.0,0.02021,0.0,0.0,0.0,0.0,0.0
MKW4_00221,0.0,0.0,0.0204467,0.0,0.0,0.0,0.0,0.0
MKW4_00222,0.0,0.0,0.019685,0.0,0.0,0.0,0.0,0.0
MKW4_00223,0.0,0.0,0.018667,0.0,0.0,0.0,0.0,0.0
MKW4_00224,0.0,0.0,0.01994247,0.0,0.0,0.0,0.0,0.0
MKW4_00225,0.0,0.0,0.018995,0.0,0.0,0.0,0.0,0.0
MKW4_00226,0.0,0.0,0.01936381,0.0,0.0,0.0,0.0,0.0
MKW4_00227,0.0,0.0,0.020407,0.0,0.0,0.0,0.0,0.0
MKW4_00228,0.0,0.0,0.020851,0.0,0.0,0.0,0.0,0.0
MKW4_00229,0.0,0.0,0.019955682,0.0,0.0,0.0,0.0,0.0
MKW4_00230,0.0,0.0,0.020768406,0.0,0.0,0.0,0.0,0.0
MKW4_00231,0.0,0.0,0.0206825,0.0,0.0,0.0,0.0,0.0
MKW4_00232,0.0,0.0,0.020592,0.0,0.0,0.0,0.0,0.0
MKW4_00233,0.0,0.0,0.019529,0.0,0.0,0.0,0.0,0.0
MKW4_00234,0.0,0.0,0.020947,0.0,0.0,0.0,0.0,0.0
MKW4_00235,0.0,0.0,0.020510428,0.0,0.0,0.0,0.0,0.0
MKW4_00236,0.0,0.0,0.0199803,0.0,0.0,0.0,0.0,0.0
MKW4_00237,0.0,0.0,0.0203745,0.0,0.0,0.0,0.0,0.0
MKW4_00238,0.0,0.0,0.020874,0.0,0.0,0.0,0.0,0.0
MKW4_00239,0.0,0.0,0.0191821,0.0,0.0,0.0,0.0,0.0
MKW4_00240,0.0,0.0,0.020859,0.0,0.0,0.0,0.0,0.0
