Name,RA,DEC,Redshift
A1644_00001,0.0,0.0,0.047476
A1644_00002,0.0,0.0,0.044074
A1644_00003,0.0,0.0,0.044371
A1644_00004,0.0,0.0,0.041649
A1644_00005,0.0,0.0,0.047189
A1644_00006,0.0,0.0,0.049931
A1644_00007,0.0,0.0,0.047283
A1644_00008,0.0,0.0,0.048697
A1644_00009,0.0,0.0,0.04851
A1644_00010,0.0,0.0,0.039187
A1644_00011,0.0,0.0,0.04781
A1644_00012,0.0,0.0,0.046626
A1644_00013,0.0,0.0,0.043493
A1644_00014,0.0,0.0,0.045662
A1644_00015,0.0,0.0,0.048343
A1644_00016,0.0,0.0,0.045415
A1644_00017,0.0,0.0,0.052306
A1644_00018,0.0,0.0,0.052356
A1644_00019,0.0,0.0,0.0481
A1644_00020,0.0,0.0,0.048253
A1644_00021,0.0,0.0,0.044214
A1644_00022,0.0,0.0,0.046229
A1644_00023,0.0,0.0,0.04848
A1644_00024,0.0,0.0,0.051272
A1644_00025,0.0,0.0,0.039394
A1644_00026,0.0,0.0,0.04827
A1644_00027,0.0,0.0,0.04796
A1644_00028,0.0,0.0,0.042489
A1644_00029,0.0,0.0,0.045958
A1644_00030,0.0,0.0,0.044587
A1644_00031,0.0,0.0,0.049361
A1644_00032,0.0,0.0,0.049257
A1644_00033,0.0,0.0,0.045505
A1644_00034,0.0,0.0,0.051312
A1644_00035,0.0,0.0,0.051979
A1644_00036,0.0,0.0,0.045495
A1644_00037,0.0,0.0,0.052403
A1644_00038,0.0,0.0,0.049821
A1644_00039,0.0,0.0,0.053827
A1644_00040,0.0,0.0,0.050021
A1644_00041,0.0,0.0,0.04782
A1644_00042,0.0,0.0,0.04834
A1644_00043,0.0,0.0,0.04858
A1644_00044,0.0,0.0,0.042876
A1644_00045,0.0,0.0,0.048347
A1644_00046,0.0,0.0,0.047389
A1644_00047,0.0,0.0,0.048077
A1644_00048,0.0,0.0,0.047023
A1644_00049,0.0,0.0,0.049801
A1644_00050,0.0,0.0,0.0488
A1644_00051,0.0,0.0,0.047906
A1644_00052,0.0,0.0,0.046005
A1644_00053,0.0,0.0,0.04369
A1644_00054,0.0,0.0,0.044337
A1644_00055,0.0,0.0,0.04947
A1644_00056,0.0,0.0,0.04852
A1644_00057,0.0,0.0,0.040114
A1644_00058,0.0,0.0,0.048664
A1644_00059,0.0,0.0,0.046005
A1644_00060,0.0,0.0,0.039454
A1644_00061,0.0,0.0,0.045521
A1644_00062,0.0,0.0,0.047243
A1644_00063,0.0,0.0,0.049387
A1644_00064,0.0,0.0,0.0479
A1644_00065,0.0,0.0,0.049124
A1644_00066,0.0,0.0,0.046055
A1644_00067,0.0,0.0,0.045792
A1644_00068,0.0,0.0,0.042603
A1644_00069,0.0,0.0,0.05168
A1644_00070,0.0,0.0,0.04775
A1644_00071,0.0,0.0,0.054664
A1644_00072,0.0,0.0,0.050668
A1644_00073,0.0,0.0,0.044261
A1644_00074,0.0,0.0,0.048343
A1644_00075,0.0,0.0,0.044447
A1644_00076,0.0,0.0,0.04325
A1644_00077,0.0,0.0,0.046772
A1644_00078,0.0,0.0,0.049037
A1644_00079,0.0,0.0,0.049658
A1644_00080,0.0,0.0,0.044561
A1644_00081,0.0,0.0,0.042559
A1644_00082,0.0,0.0,0.042653
A1644_00083,0.0,0.0,0.044327
A1644_00084,0.0,0.0,0.045451
A1644_00085,0.0,0.0,0.047256
A1644_00086,0.0,0.0,0.048247
A1644_00087,0.0,0.0,0.04319
A1644_00088,0.0,0.0,0.04328
A1644_00089,0.0,0.0,0.047776
A1644_00090,0.0,0.0,0.043954
A1644_00091,0.0,0.0,0.042413
A1644_00092,0.0,0.0,0.049241
A1644_00093,0.0,0.0,0.046169
A1644_00094,0.0,0.0,0.04754
A1644_00095,0.0,0.0,0.047693
A1644_00096,0.0,0.0,0.052843
A1644_00097,0.0,0.0,0.050331
A1644_00098,0.0,0.0,0.049434
A1644_00099,0.0,0.0,0.044981
A1644_00100,0.0,0.0,0.043353
A1644_00101,0.0,0.0,0.049834
A1644_00102,0.0,0.0,0.039514
A1644_00103,0.0,0.0,0.046802
A1644_00104,0.0,0.0,0.04285
A1644_00105,0.0,0.0,0.052426
A1644_00106,0.0,0.0,0.044261
A1644_00107,0.0,0.0,0.046892
A1644_00108,0.0,0.0,0.041599
A1644_00109,0.0,0.0,0.047996
A1644_00110,0.0,0.0,0.042703
A1644_00111,0.0,0.0,0.047436
A1644_00112,0.0,0.0,0.043924
A1644_00113,0.0,0.0,0.053417
